GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
HomeworkDrugs,pl.kurs.java.zadanie02.service,DrugService,21,36,0,2,9,12,6,3,6,2
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,NameIsNullExceptions,3,4,0,0,2,2,1,1,1,1
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,AgeMustBeMoreThanZeroException,3,4,0,0,2,2,1,1,1,1
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,KidISNullException,7,0,0,0,4,0,2,0,2,0
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,TheKidIsAlreadyDeadException,3,4,0,0,2,2,1,1,1,1
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,NotEnoughIngrediensInDrugException,4,0,0,0,2,0,1,0,1,0
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,BadQualityException,0,4,0,0,0,2,0,1,0,1
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,SurnameIsNullException,3,4,0,0,2,2,1,1,1,1
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,PriceIsLessThanZeroException,7,0,0,0,4,0,2,0,2,0
HomeworkDrugs,pl.kurs.java.zadanie02.exceptions,DrugIsNullException,3,4,0,0,2,2,1,1,1,1
HomeworkDrugs,pl.kurs.java.zadanie02.model,Kid,33,41,0,0,12,15,8,3,8,3
HomeworkDrugs,pl.kurs.java.zadanie02.model,Lsd,5,9,0,0,1,3,1,1,1,1
HomeworkDrugs,pl.kurs.java.zadanie02.model,Ingredients,3,53,0,0,1,5,1,2,1,2
HomeworkDrugs,pl.kurs.java.zadanie02.model,Mdma,11,9,0,0,1,3,1,1,1,1
HomeworkDrugs,pl.kurs.java.zadanie02.model,Check,21,53,4,12,6,19,5,12,2,7
HomeworkDrugs,pl.kurs.java.zadanie02.model,Drug,22,26,0,0,6,10,5,2,5,2
HomeworkDrugs,pl.kurs.java.zadanie02.model,Cocaine,10,6,0,0,1,2,1,1,1,1
